Dish Name,Country,Region/City,Ingredients,Description,Cooking Method,Typical Price (USD),Vegetarian
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.6,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,3.69,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.35,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,1.66,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,4.15,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.53,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.44,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.56,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.24,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.16,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.34,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.04,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.75,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.67,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.21,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.1,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.01,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.65,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.16,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,1.13,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.86,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,3.68,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.94,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.91,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.81,No
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.69,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,0.9,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.54,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.29,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,0.59,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.08,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,3.65,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.42,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.0,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.01,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,0.37,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.94,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,3.73,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.75,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.3,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.83,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,1.93,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.75,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.5,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.55,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.0,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.68,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.47,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.67,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,0.35,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.79,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.51,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.56,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.81,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.19,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.31,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.52,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.77,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.83,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,0.76,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.41,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.4,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,0.82,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.84,No
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,1.74,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.41,No
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,1.35,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.27,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.73,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.71,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.79,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.13,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.52,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,1.91,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.94,Yes
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,1.4,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.81,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.59,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,3.37,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,1.37,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.9,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.94,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.67,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.05,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.28,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.33,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.53,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.94,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.32,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,0.79,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.51,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.03,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.57,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.57,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.22,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,3.59,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.62,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.92,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,0.86,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,0.8,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.4,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.37,Yes
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,4.5,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.55,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.98,Yes
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.0,Yes
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.77,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.94,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.72,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.05,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.42,No
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.12,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.3,Yes
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.65,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.66,No
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.29,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.97,Yes
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.53,No
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.31,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.07,No
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,3.58,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.9,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.04,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.23,No
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,0.41,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.61,Yes
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,3.67,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,0.44,No
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,0.96,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.27,No
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.54,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.51,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.73,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.2,Yes
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.94,Yes
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.9,Yes
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,0.34,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.97,Yes
Pad Thai,Thailand,Bangkok,"Rice Noodles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.84,Yes
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.74,Yes
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.21,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.45,No
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.9,Yes
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.11,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.11,Yes
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,4.46,No
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.59,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.21,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.73,No
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,0.32,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,0.46,Yes
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.27,No
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.8,No
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.88,Yes
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.17,No
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,0.96,No
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.42,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,0.92,No
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.81,Yes
Yakisoba,Japan,Tokyo,"Noodles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.35,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.98,No
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.56,No
